season,team,logo,offense_completion_percentage,offense_total_yards_gained_pass,offense_total_yards_gained_run,offense_ave_yards_gained_pass,offense_ave_yards_gained_run,offense_total_air_yards,offense_ave_air_yards,offense_total_yac,offense_ave_yac,offense_n_plays_pass,offense_n_plays_run,offense_n_interceptions,offense_n_fumbles_lost_pass,offense_n_fumbles_lost_run,offense_total_epa_pass,offense_total_epa_run,offense_ave_epa_pass,offense_ave_epa_run,offense_total_wpa_pass,offense_total_wpa_run,offense_ave_wpa_pass,offense_ave_wpa_run,offense_success_rate_pass,offense_success_rate_run,defense_completion_percentage,defense_total_yards_gained_pass,defense_total_yards_gained_run,defense_ave_yards_gained_pass,defense_ave_yards_gained_run,defense_total_air_yards,defense_ave_air_yards,defense_total_yac,defense_ave_yac,defense_n_plays_pass,defense_n_plays_run,defense_n_interceptions,defense_n_fumbles_lost_pass,defense_n_fumbles_lost_run,defense_total_epa_pass,defense_total_epa_run,defense_ave_epa_pass,defense_ave_epa_run,defense_total_wpa_pass,defense_total_wpa_run,defense_ave_wpa_pass,defense_ave_wpa_run,defense_success_rate_pass,defense_success_rate_run,points_scored,points_allowed,wins,losses,ties,score_differential,team_name,home_stadium,location,state,lat,long,mascot,live_mascots,conference,division,superbowl_wins,year_est
2022,Carolina Panthers,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-carolina-panthers-team-logo-2-768x768.png,0.5437881873727088,2996,2218,6.101832993890025,4.620833333333333,3313,7.297356828193833,1751,6.55805243445693,491,480,13,3,2,-47.58927112,14.079996609734856,-0.096923159,0.0293333262702808,-1.446856577,0.6252428996263142,-0.002946755,0.0013025893742214,0.380855397148676,0.4333333333333332,0.6227642276422763,3870,2101,6.2926829268292686,4.423157894736841,4596,7.96533795493934,1664,4.344647519582243,615,475,10,4,2,27.28673076340823,-24.10419934,0.0443686679079805,-0.050745683,0.9593682035640412,-0.062608278,0.0015599482984781,-0.000131807,0.4552845528455285,0.4252631578947369,347,374,7,10,0,-27,Carolina Panthers,Bank of America Stadium,"Charlotte, North Carolina",North Carolina,35.225845,-80.853607,Sir Purr,,NFC,South,0,1993
1999,Chicago Bears,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-chicago-bears-team-logo-2-768x768.png,0.5611814345991561,4090,1359,5.752461322081574,3.5483028720626626,0,,508,7.0555555555555545,711,383,20,9,5,-23.42414655,-65.94540688,-0.032945354,-0.172181219,-1.838303079,-1.868058599,-0.002585518,-0.004877438,0.4261603375527427,0.3472584856396866,0.5718954248366015,3793,1833,6.197712418300654,4.40625,0,,404,6.121212121212121,612,416,14,7,7,22.95543593174728,-35.02656898,0.0375088822414171,-0.084198483,-0.248111563,-1.310421012,-0.000405411,-0.003150051,0.4428104575163398,0.3725961538461538,272,341,6,10,0,-69,Chicago Bears,Soldier Field,"Chicago, Illinois",Illinois,41.862366,-87.617256,Staley Da Bear,,NFC,North,1,1920
2000,Chicago Bears,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-chicago-bears-team-logo-2-768x768.png,0.5289982425307558,2773,1715,4.873462214411248,4.162621359223305,0,,0,,569,412,14,5,7,-98.7983257,-39.11298299,-0.173635019,-0.094934425,-2.331174357,-1.181547489,-0.004096967,-0.002867834,0.3866432337434095,0.3980582524271844,0.5848056537102473,3412,1781,6.028268551236749,3.8717391304347872,0,,0,,566,460,11,5,3,10.702082161812346,-23.66517153,0.0189082723706931,-0.051446025,-2.45058464,-0.475363073,-0.004329655,-0.001033398,0.4522968197879859,0.3630434782608693,216,355,5,11,0,-139,Chicago Bears,Soldier Field,"Chicago, Illinois",Illinois,41.862366,-87.617256,Staley Da Bear,,NFC,North,1,1920
2001,Chicago Bears,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-chicago-bears-team-logo-2-768x768.png,0.5801104972375688,2952,1746,5.43646408839779,3.691331923890064,0,,0,,543,473,16,4,2,-26.19683171,-43.25654884,-0.048244626,-0.091451477,-1.191092493,-1.154677718,-0.002193541,-0.002441179,0.4088397790055247,0.3678646934460887,0.5461538461538462,3667,1313,5.641538461538463,3.520107238605897,0,,0,,650,373,20,10,6,-76.49722693,-76.81871457,-0.117688041,-0.205948296,-2.487479791,-2.435846509,-0.003826892,-0.00653042,0.4338461538461537,0.3538873994638068,338,203,13,3,0,135,Chicago Bears,Soldier Field,"Chicago, Illinois",Illinois,41.862366,-87.617256,Staley Da Bear,,NFC,North,1,1920
2002,Chicago Bears,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-chicago-bears-team-logo-2-768x768.png,0.5263157894736843,3051,1347,5.1799660441426125,3.5540897097625326,0,,0,,589,379,18,6,8,-85.8331439,-60.73875645,-0.1457269,-0.160260571,-2.084670174,-2.338880791,-0.003539338,-0.006171189,0.3972835314091678,0.3799472295514511,0.5746140651801029,3532,2086,6.05831903945112,4.172000000000001,0,,0,,583,500,9,9,9,42.90357341623918,-55.88153628,0.073591035019279,-0.111763073,1.70365110253252,-0.632421029,0.0029222145841038,-0.001264842,0.4408233276157807,0.3779999999999999,281,379,4,12,0,-98,Chicago Bears,Soldier Field,"Chicago, Illinois",Illinois,41.862366,-87.617256,Staley Da Bear,,NFC,North,1,1920
2003,Chicago Bears,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-chicago-bears-team-logo-2-768x768.png,0.4909420289855072,2617,1774,4.74094202898551,4.050228310502284,0,,0,,552,438,20,6,1,-115.3654164,11.279179695614896,-0.20899532,0.0257515518164723,-2.413907158,0.0806694810458092,-0.00437302,0.00018417689736486027,0.3623188405797102,0.406392694063927,0.6003683241252301,3088,1874,5.686924493554327,4.259090909090907,0,,0,,543,440,15,2,1,-10.81445662,-18.15579404,-0.019916126,-0.041263168,-0.873066387,-0.385718242,-0.001607857,-0.000876632,0.440147329650092,0.3977272727272727,283,346,7,9,0,-63,Chicago Bears,Soldier Field,"Chicago, Illinois",Illinois,41.862366,-87.617256,Staley Da Bear,,NFC,North,1,1920
2004,Chicago Bears,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-chicago-bears-team-logo-2-768x768.png,0.4636871508379889,2192,1630,4.0819366852886425,3.8352941176470607,0,,0,,537,425,16,11,7,-178.4677186,-65.59222107,-0.33234212,-0.154334638,-5.409528509,-1.862056048,-0.01007361,-0.004381308,0.3091247672253259,0.3929411764705884,0.5227686703096538,3340,2063,6.083788706739523,4.288981288981288,0,,0,,549,481,17,5,8,-52.03228819,-56.58825483,-0.094776481,-0.117647099,-1.772009223,-1.374409193,-0.003227704,-0.0028574,0.4007285974499088,0.3929313929313928,231,331,5,11,0,-100,Chicago Bears,Soldier Field,"Chicago, Illinois",Illinois,41.862366,-87.617256,Staley Da Bear,,NFC,North,1,1920
2005,Chicago Bears,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-chicago-bears-team-logo-2-768x768.png,0.4877505567928729,2002,2111,4.45879732739421,4.434873949579833,0,,0,,449,476,15,6,5,-86.0644332,-57.59649097,-0.191680252,-0.121001031,-3.363774475,-0.646071772,-0.007491703,-0.001357294,0.3719376391982182,0.3487394957983193,0.5314091680814942,2872,1655,4.876061120543293,3.8941176470588257,0,,0,,589,425,24,5,2,-123.953104,-52.85364727,-0.210446696,-0.124361523,-3.739346736,-1.748421979,-0.006348636,-0.004113934,0.3667232597623089,0.3458823529411766,260,202,11,5,0,58,Chicago Bears,Soldier Field,"Chicago, Illinois",Illinois,41.862366,-87.617256,Staley Da Bear,,NFC,North,1,1920
2006,Chicago Bears,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-chicago-bears-team-logo-2-768x768.png,0.5251396648044696,3286,1940,6.119180633147111,4.016563146997933,4564,8.896686159844057,1374,4.88967971530249,537,483,22,6,4,-41.79657234,-19.367079,-0.077833468,-0.040097472,-1.421202558,-0.211658889,-0.00264656,-0.000438217,0.400372439478585,0.3892339544513458,0.5383360522022839,3129,1606,5.104404567699834,4.065822784810128,4542,7.912891986062715,1381,4.1848484848484855,613,395,23,10,8,-113.1941537,-62.7697712,-0.184656042,-0.158910813,-2.772056776,-1.96937985,-0.004522115,-0.004985772,0.4045676998368679,0.3670886075949366,427,255,13,3,0,172,Chicago Bears,Soldier Field,"Chicago, Illinois",Illinois,41.862366,-87.617256,Staley Da Bear,,NFC,North,1,1920
2007,Chicago Bears,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-chicago-bears-team-logo-2-768x768.png,0.5397350993377484,3361,1344,5.56456953642384,3.230769230769231,4607,8.256272401433689,1756,5.403076923076922,604,416,21,4,6,-67.3699493,-72.68439403,-0.111539651,-0.174722101,-1.001403703,-2.105170328,-0.001657953,-0.005060506,0.413907284768212,0.3293269230769231,0.5924006908462869,3702,1984,6.393782383419688,4.428571428571428,4140,7.738317757009343,1810,5.30791788856305,579,448,16,9,8,-8.013128464,-46.6312694,-0.0138396,-0.104087655,0.1209945335174353,-0.84705013,0.0002089715604791608,-0.001890737,0.4628670120898099,0.3638392857142858,334,348,7,9,0,-14,Chicago Bears,Soldier Field,"Chicago, Illinois",Illinois,41.862366,-87.617256,Staley Da Bear,,NFC,North,1,1920
2008,Chicago Bears,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-chicago-bears-team-logo-2-768x768.png,0.5483870967741934,3070,1677,5.5017921146953395,3.955188679245284,4261,8.07007575757576,1497,4.892156862745099,558,424,14,5,4,-59.73036461,-41.8295999,-0.107043664,-0.098654717,-1.224278573,-0.46817882,-0.002194048,-0.001104195,0.4265232974910394,0.3396226415094339,0.5919629057187018,3859,1508,5.9644513137557915,3.556603773584906,5275,8.521809369951532,1493,3.8981723237597894,647,424,22,5,2,-18.20155159,-46.2172121,-0.028132228,-0.109002859,0.1234628254922795,-1.567158648,0.000190823532445562,-0.003696129,0.4404945904173106,0.3537735849056604,375,350,9,7,0,25,Chicago Bears,Soldier Field,"Chicago, Illinois",Illinois,41.862366,-87.617256,Staley Da Bear,,NFC,North,1,1920
2009,Chicago Bears,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-chicago-bears-team-logo-2-768x768.png,0.5723905723905722,3478,1500,5.855218855218857,4.109589041095893,4605,8.252688172043012,1600,4.7058823529411775,594,365,27,2,3,-59.93591247,-31.95652513,-0.10090221,-0.087552124,-0.171877291,-1.321664358,-0.000289356,-0.003620998,0.4107744107744111,0.3671232876712328,0.6046099290780141,3398,2025,6.024822695035464,4.44078947368421,4477,8.49525616698292,1571,4.607038123167155,564,456,13,9,4,34.14097809383137,-25.2590848,0.0605336491025376,-0.05539273,1.217541987988404,-0.329578519,0.0021587623900503,-0.00072276,0.4539007092198582,0.4144736842105262,327,375,7,9,0,-48,Chicago Bears,Soldier Field,"Chicago, Illinois",Illinois,41.862366,-87.617256,Staley Da Bear,,NFC,North,1,1920
2010,Chicago Bears,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-chicago-bears-team-logo-2-768x768.png,0.5267175572519085,3017,1636,5.757633587786258,4.141772151898733,4176,8.961373390557942,1482,5.369565217391299,524,395,21,9,1,-64.59907681,-29.35656277,-0.123280681,-0.074320412,-1.549846946,-0.221498303,-0.002957723,-0.000560755,0.4103053435114503,0.3620253164556962,0.5921696574225123,3588,1455,5.853181076672105,3.911290322580646,4497,7.766839378238341,1542,4.247933884297522,613,372,21,8,6,-53.9408627,-49.54523471,-0.087994882,-0.133186115,-1.961113487,-1.889140371,-0.003199206,-0.005078334,0.4469820554649265,0.3709677419354838,334,286,11,5,0,48,Chicago Bears,Soldier Field,"Chicago, Illinois",Illinois,41.862366,-87.617256,Staley Da Bear,,NFC,North,1,1920
2011,Chicago Bears,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-chicago-bears-team-logo-2-768x768.png,0.516377649325626,3011,2022,5.801541425818884,4.483370288248336,4190,8.914893617021276,1355,5.055970149253727,519,451,20,5,4,-77.10220193,-34.36979229,-0.148559156,-0.076207965,-1.966630712,-0.346326971,-0.003789269,-0.000767909,0.4084778420038535,0.368070953436807,0.5794251134644479,4065,1545,6.149773071104386,4.04450261780105,5019,8.01757188498403,1694,4.422976501305482,661,382,20,5,4,-17.40661916,-58.26675533,-0.026333766,-0.152530773,-0.350006662,-1.181355864,-0.000529511,-0.003092555,0.4160363086232981,0.3115183246073297,353,341,8,8,0,12,Chicago Bears,Soldier Field,"Chicago, Illinois",Illinois,41.862366,-87.617256,Staley Da Bear,,NFC,North,1,1920
2012,Chicago Bears,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-chicago-bears-team-logo-2-768x768.png,0.5415094339622643,2999,1990,5.658490566037735,4.402654867256637,4830,9.958762886597942,1231,4.2891986062717775,530,452,16,5,2,-41.05110489,-14.72402098,-0.077454915,-0.032575268,-1.552979575,-0.470692835,-0.00293015,-0.001041356,0.4018867924528302,0.3783185840707965,0.5529225908372828,3427,1640,5.413902053712482,4.338624338624337,5055,8.56779661016949,1342,3.834285714285715,633,378,24,7,9,-93.6099642,-60.78670119,-0.14788304,-0.160811379,-1.812300876,-1.041298105,-0.002863035,-0.002754757,0.4139020537124804,0.3756613756613758,375,277,10,6,0,98,Chicago Bears,Soldier Field,"Chicago, Illinois",Illinois,41.862366,-87.617256,Staley Da Bear,,NFC,North,1,1920
2013,Chicago Bears,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-chicago-bears-team-logo-2-768x768.png,0.6124794745484401,4289,1839,7.042692939244665,4.655696202531646,5030,8.747826086956518,1763,4.726541554959788,609,395,13,7,2,83.41576177735578,-0.392533678,0.1369716942156907,-0.000993756,2.6787454573105705,0.0552348813510672,0.0043985968100337,0.0001398351426609372,0.4909688013136288,0.3949367088607595,0.5833333333333333,3732,2593,6.911111111111116,5.493644067796607,4314,8.542574257425743,1498,4.785942492012779,540,472,19,5,3,22.660227152785087,61.02222660900858,0.0419633836162685,0.1292843784089165,0.2644225324859977,2.2887012488073326,0.0004896713564555578,0.0048489433237443,0.4759259259259258,0.4639830508474581,445,478,8,8,0,-33,Chicago Bears,Soldier Field,"Chicago, Illinois",Illinois,41.862366,-87.617256,Staley Da Bear,,NFC,North,1,1920
2014,Chicago Bears,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-chicago-bears-team-logo-2-768x768.png,0.6055045871559632,3800,1456,5.810397553516818,4.244897959183673,4474,7.346469622331693,2161,5.457070707070706,654,343,19,9,1,-53.53559965,-9.748895684,-0.081858715,-0.028422436,-0.478828222,-0.32245205,-0.000732153,-0.000940093,0.4449541284403668,0.4256559766763848,0.6235093696763204,4230,1826,7.206132879045997,4.531017369727048,4369,7.987202925045705,1912,5.224043715846993,587,403,14,7,1,86.91955692014302,-7.117046448,0.148074202589681,-0.017660165,1.1331279864152526,0.3431854954266905,0.0019303713567551,0.0008515769117287597,0.4991482112436115,0.3920595533498759,319,442,5,11,0,-123,Chicago Bears,Soldier Field,"Chicago, Illinois",Illinois,41.862366,-87.617256,Staley Da Bear,,NFC,North,1,1920
2015,Chicago Bears,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-chicago-bears-team-logo-2-768x768.png,0.5974955277280859,3662,1862,6.550983899821108,4.02159827213823,4327,8.289272030651338,1841,5.5119760479041915,559,463,12,5,3,5.254663470100985,-25.06113934,0.0094001135422198,-0.054127731,0.8977377888965727,-0.521803391,0.0016059709998149,-0.001127005,0.4382826475849731,0.4211663066954643,0.5897435897435899,3593,1946,6.580586080586082,4.6223277909738725,3904,7.639921722113503,1903,5.909937888198759,546,421,8,2,4,54.80961048881695,-11.72035544,0.1003839019941698,-0.027839324,2.0408036876261595,0.2608936598668246,0.0037377356916229,0.0006196999046717956,0.4560439560439559,0.4489311163895487,335,397,6,10,0,-62,Chicago Bears,Soldier Field,"Chicago, Illinois",Illinois,41.862366,-87.617256,Staley Da Bear,,NFC,North,1,1920
2016,Chicago Bears,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-chicago-bears-team-logo-2-768x768.png,0.5931623931623933,3969,1742,6.784615384615385,4.670241286863271,5153,9.25134649910233,1654,4.76657060518732,585,373,19,7,3,-0.581620456,-35.94731635,-0.000994223,-0.096373502,-0.356119145,-0.82290724,-0.000608751,-0.002206186,0.4735042735042734,0.3967828418230562,0.6042402826855124,3600,1972,6.360424028268551,4.6291079812206535,4636,8.780303030303031,1435,4.195906432748539,566,426,8,3,0,59.886305443828434,8.381015320361897,0.1058061933636544,0.019673744883478,2.089104072864152,0.865471091642937,0.0036909965951663,0.0020316222808519,0.471731448763251,0.4178403755868545,279,399,3,13,0,-120,Chicago Bears,Soldier Field,"Chicago, Illinois",Illinois,41.862366,-87.617256,Staley Da Bear,,NFC,North,1,1920
2017,Chicago Bears,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-chicago-bears-team-logo-2-768x768.png,0.568359375,2811,1797,5.490234375,4.2990430622009566,3487,7.387711864406778,1351,4.642611683848797,512,418,12,6,4,-68.61990701,-33.79196029,-0.134023256,-0.08084201,-2.130596758,0.3531581307239837,-0.004161322,0.0008448759108229222,0.392578125,0.3732057416267943,0.5996503496503497,3378,1747,5.9055944055944085,4.209638554216868,4265,8.062381852551983,1685,4.912536443148688,572,415,8,6,6,-17.98989972,-35.32286371,-0.031450874,-0.085115334,-0.176977682,-0.387760922,-0.000309402,-0.000934364,0.4213286713286712,0.4048192771084337,264,320,5,11,0,-56,Chicago Bears,Soldier Field,"Chicago, Illinois",Illinois,41.862366,-87.617256,Staley Da Bear,,NFC,North,1,1920
2018,Chicago Bears,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-chicago-bears-team-logo-2-768x768.png,0.6265938069216757,3572,1956,6.5063752276867035,4.337028824833703,4502,8.810176125244615,1586,4.610465116279068,549,451,14,6,4,37.19920291825339,-12.54018256,0.0677581109622104,-0.027805283,0.6411724050193955,0.9257283091952502,0.0011678914481227,0.0020526126589695,0.4754098360655738,0.4345898004434592,0.5635276532137518,3521,1280,5.263079222720478,3.775811209439529,4901,8.021276595744686,1822,4.8328912466843486,669,339,27,4,4,-90.27495799,-59.83521124,-0.134940146,-0.176505048,-1.218732978,-1.248893523,-0.001821723,-0.003684052,0.4230194319880419,0.3421828908554573,421,283,12,4,0,138,Chicago Bears,Soldier Field,"Chicago, Illinois",Illinois,41.862366,-87.617256,Staley Da Bear,,NFC,North,1,1920
2019,Chicago Bears,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-chicago-bears-team-logo-2-768x768.png,0.5955056179775282,3293,1464,5.285714285714285,3.763496143958869,4537,7.8630849220104,1538,4.145552560646901,623,389,12,3,3,-31.67232031,-59.6057729,-0.050838395,-0.153228208,-0.749384853,-1.072939961,-0.001202865,-0.0027582,0.436597110754414,0.3521850899742929,0.5993377483443707,3556,1642,5.887417218543044,4.0643564356435675,4207,7.406690140845076,1698,4.690607734806629,604,404,10,5,4,-9.784299649,-36.89731016,-0.016199172,-0.091329976,-0.607595004,-0.688646947,-0.001005952,-0.001704572,0.4387417218543047,0.3638613861386139,280,298,8,8,0,-18,Chicago Bears,Soldier Field,"Chicago, Illinois",Illinois,41.862366,-87.617256,Staley Da Bear,,NFC,North,1,1920
2020,Chicago Bears,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-chicago-bears-team-logo-2-768x768.png,0.6184615384615386,3657,1660,5.626153846153848,4.322916666666667,4870,7.970540098199673,1720,4.278606965174127,650,384,16,5,0,-22.13775114,-6.281958305,-0.034058079,-0.016359266,-0.650457909,-0.567585162,-0.001000704,-0.001478086,0.4615384615384618,0.3932291666666668,0.604490500863558,3705,1828,6.398963730569947,4.321513002364067,4515,8.314917127071823,1727,4.934285714285713,579,423,10,3,3,43.15638782234813,-37.23686152,0.074536075686266,-0.088030405,0.911757312413908,-0.6028738,0.0015747103841345,-0.001425234,0.452504317789292,0.3711583924349881,372,370,8,8,0,2,Chicago Bears,Soldier Field,"Chicago, Illinois",Illinois,41.862366,-87.617256,Staley Da Bear,,NFC,North,1,1920
2021,Chicago Bears,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-chicago-bears-team-logo-2-768x768.png,0.5524126455906823,3213,2031,5.346089850249579,4.358369098712448,4485,8.320964749536174,1609,4.846385542168675,601,466,20,5,2,-92.52495401,-14.39237825,-0.153951671,-0.030884932,-0.337116094,0.1926183068042372,-0.000560925,0.0004133440060176818,0.4176372712146422,0.4055793991416307,0.598095238095238,3259,2146,6.207619047619046,4.605150214592276,3813,8.061310782241017,1696,5.401273885350318,525,466,8,5,2,16.981663154795477,9.06420361412465,0.0323460250567531,0.0194510807170057,1.640849386209922,0.995209551812282,0.0031254274023046,0.0021356428150478,0.4495238095238094,0.4334763948497853,311,407,6,11,0,-96,Chicago Bears,Soldier Field,"Chicago, Illinois",Illinois,41.862366,-87.617256,Staley Da Bear,,NFC,North,1,1920
2022,Chicago Bears,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-chicago-bears-team-logo-2-768x768.png,0.507972665148064,2221,3024,5.0592255125284735,5.538461538461538,3430,9.122340425531911,1137,5.098654708520182,439,546,15,6,2,-101.729238,56.51448290785791,-0.231729472,0.1035063789521207,-3.130772696,1.266285078621867,-0.007131601,0.0023192034406993,0.3599088838268793,0.4413919413919412,0.6434262948207172,3722,2698,7.414342629482077,5.178502879078696,3733,7.809623430962341,1873,5.798761609907121,502,521,14,2,5,82.85922780698468,37.976395058643234,0.1650582227230773,0.0728913532795457,2.1049251716505752,1.3271178634293854,0.0041930780311764,0.0025472511774076,0.5059760956175295,0.4625719769673703,326,463,3,14,0,-137,Chicago Bears,Soldier Field,"Chicago, Illinois",Illinois,41.862366,-87.617256,Staley Da Bear,,NFC,North,1,1920
1999,Cincinnati Bengals,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-cincinnati-bengals-team-logo-768x768.png,0.4983108108108109,3178,1971,5.368243243243242,4.626760563380282,0,,0,,592,426,18,5,3,-62.30835831,-15.93383594,-0.105250605,-0.037403371,-1.696911611,-0.993446897,-0.002866405,-0.002332035,0.4070945945945945,0.3920187793427228,0.5605786618444847,3784,1699,6.84267631103074,3.8438914027149327,0,,0,,553,442,12,4,8,90.2180895422851,-50.29907703,0.1631430190638067,-0.113798817,0.2926724087849122,-1.715225947,0.0005292448621788618,-0.003880602,0.4647377938517178,0.3665158371040724,283,460,4,12,0,-177,Cincinnati Bengals,Paycor Stadium,"Cincinnati, Ohio",Ohio,39.096306,-84.516846,Who Dey,,AFC,North,0,1967
2000,Cincinnati Bengals,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-cincinnati-bengals-team-logo-768x768.png,0.4128256513026051,1944,2182,3.8957915831663343,4.593684210526315,0,,0,,499,475,14,9,6,-138.8966092,-26.29002984,-0.278349918,-0.055347431,-3.300722169,-0.564284148,-0.006614674,-0.001187967,0.3066132264529058,0.3852631578947368,0.5625,3534,1894,6.310714285714287,3.81086519114688,0,,0,,560,497,9,3,7,82.98578602411679,-67.98705535,0.1481889036144941,-0.13679488,1.6515304784794451,-1.088635685,0.0029491615687133,-0.002190414,0.4339285714285713,0.3641851106639839,185,359,4,12,0,-174,Cincinnati Bengals,Paycor Stadium,"Cincinnati, Ohio",Ohio,39.096306,-84.516846,Who Dey,,AFC,North,0,1967
2001,Cincinnati Bengals,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-cincinnati-bengals-team-logo-768x768.png,0.5103011093502379,3090,1712,4.896988906497621,3.8820861678004546,0,,0,,631,441,26,3,5,-62.72219415,-44.99564351,-0.099401259,-0.102030938,-2.048797334,-1.759168591,-0.003246905,-0.003989044,0.4120443740095088,0.344671201814059,0.5523978685612788,3159,1676,5.611012433392539,3.716186252771617,0,,0,,563,451,13,5,7,2.7988067814473148,-71.10450137,0.0049712376224644,-0.157659648,-1.068346706,-2.100609129,-0.001897596,-0.00465767,0.4191829484902308,0.3569844789356983,226,309,6,10,0,-83,Cincinnati Bengals,Paycor Stadium,"Cincinnati, Ohio",Ohio,39.096306,-84.516846,Who Dey,,AFC,North,0,1967
2002,Cincinnati Bengals,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-cincinnati-bengals-team-logo-768x768.png,0.5573248407643313,3476,1739,5.535031847133754,4.140476190476189,0,,0,,628,420,22,7,3,-76.85926891,1.5601388266394478,-0.122387371,0.0037146162539034,-2.399104686,-0.944399012,-0.00382023,-0.002248569,0.431528662420382,0.4261904761904761,0.5991649269311065,3262,2022,6.810020876826722,4.186335403726711,0,,0,,479,483,9,4,6,81.26007712362096,-21.16873748,0.1696452549553674,-0.043827614,2.2100484070877666,-0.986137046,0.004613879764275,-0.002041692,0.4801670146137788,0.4306418219461701,279,456,2,14,0,-177,Cincinnati Bengals,Paycor Stadium,"Cincinnati, Ohio",Ohio,39.096306,-84.516846,Who Dey,,AFC,North,0,1967
2003,Cincinnati Bengals,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-cincinnati-bengals-team-logo-768x768.png,0.5837837837837837,3342,2003,6.021621621621623,4.298283261802577,0,,0,,555,466,15,4,1,48.70027246808297,-5.179578828,0.0877482386812309,-0.011114976,1.219741902521014,0.293163277231256,0.0021977331576955,0.0006291057451314555,0.4738738738738738,0.3884120171673817,0.5510204081632654,3406,2228,6.319109461966605,4.929203539823008,0,,0,,539,452,14,5,5,49.95272663590273,16.98949080228131,0.092676672793883,0.0375873690315957,1.121718952312797,0.2734332217839451,0.0020811112287806,0.0006049407561591647,0.4601113172541744,0.4446902654867257,346,384,8,8,0,-38,Cincinnati Bengals,Paycor Stadium,"Cincinnati, Ohio",Ohio,39.096306,-84.516846,Who Dey,,AFC,North,0,1967
2004,Cincinnati Bengals,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-cincinnati-bengals-team-logo-768x768.png,0.5765124555160146,3301,1851,5.873665480427049,4.334894613583137,0,,0,,562,427,22,3,7,-28.66640507,-38.9537669,-0.051007838,-0.09122662,-0.77290094,-1.568063887,-0.001375269,-0.003672281,0.4395017793594306,0.4074941451990632,0.5670289855072466,3303,2076,5.983695652173916,4.513043478260871,0,,0,,552,460,20,6,6,-30.86967623,-25.55309882,-0.055923327,-0.055550215,-1.294653749,-0.572770865,-0.002345387,-0.001245154,0.4347826086956521,0.4434782608695651,374,372,8,8,0,2,Cincinnati Bengals,Paycor Stadium,"Cincinnati, Ohio",Ohio,39.096306,-84.516846,Who Dey,,AFC,North,0,1967
2005,Cincinnati Bengals,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-cincinnati-bengals-team-logo-768x768.png,0.6452762923351159,3819,1929,6.807486631016039,4.364253393665158,0,,0,,561,442,14,6,0,91.32022391498684,17.99064272673139,0.1627811477985501,0.0407028115989396,2.264187698468816,0.3214357358978353,0.0040359852022616,0.0007272301717145626,0.4955436720142602,0.4683257918552035,0.5955882352941176,3565,1874,6.5533088235294095,4.537530266343828,0,,0,,544,413,31,5,6,4.461918226920172,0.0902061650472152,0.0082020555641922,0.00021841686452102205,-1.050378064,-0.150540911,-0.001930842,-0.000364506,0.4834558823529407,0.4794188861985471,421,350,11,5,0,71,Cincinnati Bengals,Paycor Stadium,"Cincinnati, Ohio",Ohio,39.096306,-84.516846,Who Dey,,AFC,North,0,1967
